Location,Resort,Pass,Year,Total Snowfall,Snowfall Days,Average Base Depth,Average Summit Depth,Max Base Depth,Biggest Snowfall
utah,Alta,Ikon,2012 - 2013,366,76,50,52,113,17
utah,Alta,Ikon,2013 - 2014,353,68,64,60,124,14
utah,Alta,Ikon,2014 - 2015,278,56,44,42,90,19
utah,Alta,Ikon,2015 - 2016,286,60,51,51,116,19
utah,Alta,Ikon,2016 - 2017,304,55,64,63,145,19
utah,Alta,Ikon,2017 - 2018,190,42,54,51,115,15
utah,Alta,Ikon,2018 - 2019,656,92,74,73,180,27
utah,Alta,Ikon,2019 - 2020,326,53,50,49,134,24
utah,Alta,Ikon,2020 - 2021,330,52,48,50,116,27
utah,Alta,Ikon,2021 - To Date,265,46,72,71,114,24
colorado,Arapahoe Basin,Ikon,2012 - 2013,281,93,35,35,69,14
colorado,Arapahoe Basin,Ikon,2013 - 2014,418,115,56,55,90,15
colorado,Arapahoe Basin,Ikon,2014 - 2015,314,98,39,39,62,19
colorado,Arapahoe Basin,Ikon,2015 - 2016,290,88,48,48,80,15
colorado,Arapahoe Basin,Ikon,2016 - 2017,345,89,53,52,78,18
colorado,Arapahoe Basin,Ikon,2017 - 2018,247,70,40,39,73,14
colorado,Arapahoe Basin,Ikon,2018 - 2019,329,99,56,56,99,14
colorado,Arapahoe Basin,Ikon,2019 - 2020,173,57,34,33,69,15
colorado,Arapahoe Basin,Ikon,2020 - 2021,236,87,39,38,62,9
colorado,Arapahoe Basin,Ikon,2021 - To Date,100,40,43,42,62,13
colorado,Aspen Snowmass,Ikon,2012 - 2013,309,70,24,34,61,15
colorado,Aspen Snowmass,Ikon,2013 - 2014,326,61,39,52,90,24
colorado,Aspen Snowmass,Ikon,2014 - 2015,220,53,24,36,57,11
colorado,Aspen Snowmass,Ikon,2015 - 2016,305,62,36,51,72,14
colorado,Aspen Snowmass,Ikon,2016 - 2017,319,69,26,45,61,19
colorado,Aspen Snowmass,Ikon,2017 - 2018,233,42,21,36,52,16
colorado,Aspen Snowmass,Ikon,2018 - 2019,396,82,83,57,8181,22
colorado,Aspen Snowmass,Ikon,2019 - 2020,233,60,21,30,49,15
colorado,Aspen Snowmass,Ikon,2020 - 2021,257,59,24,35,59,20
colorado,Aspen Snowmass,Ikon,2021 - To Date,294,48,34,55,87,19
california,Bear Mountain,Ikon,2012 - 2013,102,16,14,22,36,18
california,Bear Mountain,Ikon,2013 - 2014,38,8,6,13,12,10
california,Bear Mountain,Ikon,2014 - 2015,51,10,7,14,18,11
california,Bear Mountain,Ikon,2015 - 2016,81,16,16,24,40,18
california,Bear Mountain,Ikon,2016 - 2017,174,19,19,26,46,24
california,Bear Mountain,Ikon,2017 - 2018,36,10,14,20,36,8
california,Bear Mountain,Ikon,2018 - 2019,133,19,22,32,44,18
california,Bear Mountain,Ikon,2019 - 2020,79,13,20,23,40,18
california,Bear Mountain,Ikon,2020 - 2021,110,15,23,31,46,28
california,Bear Mountain,Ikon,2021 - To Date,83,12,28,37,58,13
montana,Big Sky,Ikon,2012 - 2013,395,92,31,44,59,16
montana,Big Sky,Ikon,2013 - 2014,466,81,38,51,86,26
montana,Big Sky,Ikon,2014 - 2015,236,60,25,35,49,16
montana,Big Sky,Ikon,2015 - 2016,294,79,25,44,64,12
montana,Big Sky,Ikon,2016 - 2017,277,78,28,41,58,13
montana,Big Sky,Ikon,2017 - 2018,325,80,40,58,90,15
montana,Big Sky,Ikon,2018 - 2019,266,77,31,51,265,14
montana,Big Sky,Ikon,2019 - 2020,72,28,24,40,61,9
montana,Big Sky,Ikon,2020 - 2021,162,55,27,42,59,11
montana,Big Sky,Ikon,2021 - To Date,143,47,19,41,38,10
ontario,Blue Mountain,Ikon,2012 - 2013,56,29,23,23,59,6
ontario,Blue Mountain,Ikon,2013 - 2014,129,60,26,26,57,10
ontario,Blue Mountain,Ikon,2014 - 2015,100,41,25,24,59,10
ontario,Blue Mountain,Ikon,2015 - 2016,99,32,14,14,47,18
ontario,Blue Mountain,Ikon,2016 - 2017,68,33,17,17,49,8
ontario,Blue Mountain,Ikon,2017 - 2018,156,63,20,19,45,8
ontario,Blue Mountain,Ikon,2018 - 2019,106,45,21,20,45,7
ontario,Blue Mountain,Ikon,2019 - 2020,103,44,16,16,39,8
ontario,Blue Mountain,Ikon,2020 - 2021,7,6,12,11,45,3
ontario,Blue Mountain,Ikon,2021 - To Date,93,38,24,23,41,7
michigan,Boyne Mountain,Ikon,2012 - 2013,122,48,21,33,45,10
michigan,Boyne Mountain,Ikon,2013 - 2014,217,81,31,45,60,10
michigan,Boyne Mountain,Ikon,2014 - 2015,101,42,25,34,48,10
michigan,Boyne Mountain,Ikon,2015 - 2016,113,36,14,25,40,10
michigan,Boyne Mountain,Ikon,2016 - 2017,138,50,25,31,50,10
michigan,Boyne Mountain,Ikon,2017 - 2018,130,40,24,31,45,20
michigan,Boyne Mountain,Ikon,2018 - 2019,140,46,25,26,73,13
michigan,Boyne Mountain,Ikon,2019 - 2020,110,41,20,20,42,6
michigan,Boyne Mountain,Ikon,2020 - 2021,42,23,19,18,48,6
michigan,Boyne Mountain,Ikon,2021 - To Date,90,45,25,25,40,8
utah,Brighton,Ikon,2012 - 2013,306,60,47,46,99,17
utah,Brighton,Ikon,2013 - 2014,265,48,48,49,113,14
utah,Brighton,Ikon,2014 - 2015,220,49,36,36,79,18
utah,Brighton,Ikon,2015 - 2016,386,65,44,44,99,33
utah,Brighton,Ikon,2016 - 2017,518,75,55,67,149,24
utah,Brighton,Ikon,2017 - 2018,329,67,39,38,83,16
utah,Brighton,Ikon,2018 - 2019,588,87,66,65,141,24
utah,Brighton,Ikon,2019 - 2020,388,58,41,40,100,24
utah,Brighton,Ikon,2020 - 2021,321,56,43,42,95,22
utah,Brighton,Ikon,2021 - To Date,259,40,61,57,98,22
colorado,Copper Mountain,Ikon,2012 - 2013,237,77,29,28,80,13
colorado,Copper Mountain,Ikon,2013 - 2014,352,87,42,47,91,18
colorado,Copper Mountain,Ikon,2014 - 2015,254,63,35,39,70,17
colorado,Copper Mountain,Ikon,2015 - 2016,247,71,33,40,76,15
colorado,Copper Mountain,Ikon,2016 - 2017,246,70,32,39,64,16
colorado,Copper Mountain,Ikon,2017 - 2018,202,59,29,37,73,18
colorado,Copper Mountain,Ikon,2018 - 2019,246,69,37,52,87,19
colorado,Copper Mountain,Ikon,2019 - 2020,201,65,23,32,61,17
colorado,Copper Mountain,Ikon,2020 - 2021,185,76,23,27,50,9
colorado,Copper Mountain,Ikon,2021 - To Date,188,61,41,48,62,13
washington,Crystal Mountain,Ikon,2012 - 2013,838,104,47,82,79,52
washington,Crystal Mountain,Ikon,2013 - 2014,429,81,32,72,80,38
washington,Crystal Mountain,Ikon,2014 - 2015,154,41,7,25,30,14
washington,Crystal Mountain,Ikon,2015 - 2016,409,78,40,63,90,21
washington,Crystal Mountain,Ikon,2016 - 2017,388,88,38,53,84,19
washington,Crystal Mountain,Ikon,2017 - 2018,403,78,38,59,750,16
washington,Crystal Mountain,Ikon,2018 - 2019,377,77,33,49,443,26
washington,Crystal Mountain,Ikon,2019 - 2020,326,57,43,41,96,20
washington,Crystal Mountain,Ikon,2020 - 2021,406,62,60,77,133,41
washington,Crystal Mountain,Ikon,2021 - To Date,317,49,47,55,94,34
british-columbia,Cypress Mountain,Ikon,2012 - 2013,178,32,0,90,0,18
british-columbia,Cypress Mountain,Ikon,2013 - 2014,196,53,20,37,45,14
british-columbia,Cypress Mountain,Ikon,2014 - 2015,35,15,9,9,26,12
british-columbia,Cypress Mountain,Ikon,2015 - 2016,317,58,83,82,174,30
british-columbia,Cypress Mountain,Ikon,2016 - 2017,361,69,43,86,127,26
british-columbia,Cypress Mountain,Ikon,2017 - 2018,369,78,91,89,191,15
british-columbia,Cypress Mountain,Ikon,2018 - 2019,179,48,58,59,129,11
british-columbia,Cypress Mountain,Ikon,2019 - 2020,236,55,49,48,152,15
british-columbia,Cypress Mountain,Ikon,2020 - 2021,203,50,53,55,117,13
british-columbia,Cypress Mountain,Ikon,2021 - To Date,287,56,72,77,154,19
utah,Deer Valley,Ikon,2012 - 2013,179,43,38,36,81,18
utah,Deer Valley,Ikon,2013 - 2014,208,48,41,37,100,14
utah,Deer Valley,Ikon,2014 - 2015,132,38,29,28,61,16
utah,Deer Valley,Ikon,2015 - 2016,233,52,38,36,79,24
utah,Deer Valley,Ikon,2016 - 2017,388,57,62,56,1110,20
utah,Deer Valley,Ikon,2017 - 2018,164,40,28,26,67,16
utah,Deer Valley,Ikon,2018 - 2019,337,63,54,50,122,23
utah,Deer Valley,Ikon,2019 - 2020,165,37,30,29,76,15
utah,Deer Valley,Ikon,2020 - 2021,235,49,26,26,65,19
utah,Deer Valley,Ikon,2021 - To Date,189,42,38,37,63,18
colorado,Eldora,Ikon,2012 - 2013,225,54,25,25,46,12
colorado,Eldora,Ikon,2013 - 2014,318,64,37,34,75,18
colorado,Eldora,Ikon,2014 - 2015,181,45,34,32,59,15
colorado,Eldora,Ikon,2015 - 2016,204,52,30,29,55,12
colorado,Eldora,Ikon,2016 - 2017,233,53,26,26,48,12
colorado,Eldora,Ikon,2017 - 2018,192,55,23,23,40,17
colorado,Eldora,Ikon,2018 - 2019,205,70,26,26,50,14
colorado,Eldora,Ikon,2019 - 2020,155,48,24,24,75,18
colorado,Eldora,Ikon,2020 - 2021,136,51,23,23,60,11
colorado,Eldora,Ikon,2021 - To Date,120,44,25,24,30,8
wyoming,Jackson Hole,Ikon,2012 - 2013,349,79,37,45,70,16
wyoming,Jackson Hole,Ikon,2013 - 2014,431,75,51,55,131,19
wyoming,Jackson Hole,Ikon,2014 - 2015,461,72,14,50,35,34
wyoming,Jackson Hole,Ikon,2015 - 2016,380,74,14,49,35,17
wyoming,Jackson Hole,Ikon,2016 - 2017,483,83,17,73,52,19
wyoming,Jackson Hole,Ikon,2017 - 2018,397,84,9,60,29,16
wyoming,Jackson Hole,Ikon,2018 - 2019,464,76,27,56,68,24
wyoming,Jackson Hole,Ikon,2019 - 2020,451,71,15,45,45,23
wyoming,Jackson Hole,Ikon,2020 - 2021,437,63,17,53,45,24
wyoming,Jackson Hole,Ikon,2021 - To Date,291,52,15,56,35,24
california,June Mountain,Ikon,2012 - 2013,0,0,0,0,0,0
california,June Mountain,Ikon,2013 - 2014,115,20,7,15,24,16
california,June Mountain,Ikon,2014 - 2015,75,16,3,11,12,24
california,June Mountain,Ikon,2015 - 2016,199,38,18,26,40,24
california,June Mountain,Ikon,2016 - 2017,415,38,19,60,72,48
california,June Mountain,Ikon,2017 - 2018,217,23,4,23,48,36
california,June Mountain,Ikon,2018 - 2019,492,44,26,52,72,73
california,June Mountain,Ikon,2019 - 2020,50,12,6,19,24,12
california,June Mountain,Ikon,2020 - 2021,109,14,18,25,60,23
california,June Mountain,Ikon,2021 - To Date,94,10,27,48,65,27
vermont,Killington,Ikon,2012 - 2013,182,54,26,32,36,18
vermont,Killington,Ikon,2013 - 2014,197,54,10,23,16,19
vermont,Killington,Ikon,2014 - 2015,191,67,16,24,30,16
vermont,Killington,Ikon,2015 - 2016,67,33,5,17,12,7
vermont,Killington,Ikon,2016 - 2017,225,67,15,25,24,12
vermont,Killington,Ikon,2017 - 2018,223,59,13,19,24,14
vermont,Killington,Ikon,2018 - 2019,197,62,24,29,36,11
vermont,Killington,Ikon,2019 - 2020,146,52,14,16,36,12
vermont,Killington,Ikon,2020 - 2021,151,42,22,25,36,15
vermont,Killington,Ikon,2021 - To Date,118,35,23,25,30,19
alberta,Lake Louise,Ikon,2012 - 2013,184,80,10,51,46,11
alberta,Lake Louise,Ikon,2013 - 2014,298,89,44,48,81,16
alberta,Lake Louise,Ikon,2014 - 2015,183,64,30,41,62,13
alberta,Lake Louise,Ikon,2015 - 2016,133,60,30,38,49,21
alberta,Lake Louise,Ikon,2016 - 2017,214,95,39,58,70,12
alberta,Lake Louise,Ikon,2017 - 2018,290,89,45,61,76,16
alberta,Lake Louise,Ikon,2018 - 2019,199,81,39,49,62,28
alberta,Lake Louise,Ikon,2019 - 2020,211,73,30,33,74,14
alberta,Lake Louise,Ikon,2020 - 2021,175,76,35,44,72,15
alberta,Lake Louise,Ikon,2021 - To Date,234,83,49,69,68,21
new-hampshire,Loon Mountain,Ikon,2012 - 2013,156,51,16,20,35,13
new-hampshire,Loon Mountain,Ikon,2013 - 2014,158,47,16,22,35,16
new-hampshire,Loon Mountain,Ikon,2014 - 2015,147,52,14,18,31,10
new-hampshire,Loon Mountain,Ikon,2015 - 2016,49,19,8,13,16,6
new-hampshire,Loon Mountain,Ikon,2016 - 2017,187,54,13,20,20,18
new-hampshire,Loon Mountain,Ikon,2017 - 2018,172,46,15,21,35,12
new-hampshire,Loon Mountain,Ikon,2018 - 2019,195,56,17,24,30,15
new-hampshire,Loon Mountain,Ikon,2019 - 2020,102,32,11,15,24,9
new-hampshire,Loon Mountain,Ikon,2020 - 2021,105,41,13,18,28,12
new-hampshire,Loon Mountain,Ikon,2021 - To Date,84,27,24,28,32,12
california,Mammoth,Ikon,2012 - 2013,315,51,58,124,133,21
california,Mammoth,Ikon,2013 - 2014,192,38,24,43,65,24
california,Mammoth,Ikon,2014 - 2015,161,25,16,36,30,18
california,Mammoth,Ikon,2015 - 2016,393,61,57,122,110,36
california,Mammoth,Ikon,2016 - 2017,608,66,114,228,200,30
california,Mammoth,Ikon,2017 - 2018,277,39,38,85,110,35
california,Mammoth,Ikon,2018 - 2019,495,71,87,136,165,29
california,Mammoth,Ikon,2019 - 2020,153,27,24,40,58,25
california,Mammoth,Ikon,2020 - 2021,225,31,34,49,95,45
california,Mammoth,Ikon,2021 - To Date,181,22,55,105,106,35
oregon,Mt. Bachelor,Ikon,2012 - 2013,830,100,68,87,122,34
oregon,Mt. Bachelor,Ikon,2013 - 2014,776,86,62,85,128,38
oregon,Mt. Bachelor,Ikon,2014 - 2015,177,47,31,60,53,15
oregon,Mt. Bachelor,Ikon,2015 - 2016,373,80,70,94,139,18
oregon,Mt. Bachelor,Ikon,2016 - 2017,469,94,79,105,145,18
oregon,Mt. Bachelor,Ikon,2017 - 2018,223,66,50,64,104,13
oregon,Mt. Bachelor,Ikon,2018 - 2019,349,83,62,77,133,26
oregon,Mt. Bachelor,Ikon,2019 - 2020,214,49,33,39,90,20
oregon,Mt. Bachelor,Ikon,2020 - 2021,265,60,56,67,124,12
oregon,Mt. Bachelor,Ikon,2021 - To Date,234,39,50,52,89,33
alberta,Mt. Norquay,Ikon,2012 - 2013,53,28,4,31,35,6
alberta,Mt. Norquay,Ikon,2013 - 2014,96,49,17,20,28,7
alberta,Mt. Norquay,Ikon,2014 - 2015,49,26,14,14,25,5
alberta,Mt. Norquay,Ikon,2015 - 2016,74,55,5,23,31,14
alberta,Mt. Norquay,Ikon,2016 - 2017,133,80,18,20,38,6
alberta,Mt. Norquay,Ikon,2017 - 2018,158,101,31,30,54,9
alberta,Mt. Norquay,Ikon,2018 - 2019,98,76,22,21,35,12
alberta,Mt. Norquay,Ikon,2019 - 2020,112,56,17,18,48,10
alberta,Mt. Norquay,Ikon,2020 - 2021,144,95,16,33,50,10
alberta,Mt. Norquay,Ikon,2021 - To Date,98,57,35,40,48,11
california,Palisades Tahoe,Ikon,2012 - 2013,289,45,16,60,68,29
california,Palisades Tahoe,Ikon,2013 - 2014,273,41,12,30,34,38
california,Palisades Tahoe,Ikon,2014 - 2015,193,32,14,24,34,17
california,Palisades Tahoe,Ikon,2015 - 2016,473,66,39,87,89,36
california,Palisades Tahoe,Ikon,2016 - 2017,701,69,67,156,150,42
california,Palisades Tahoe,Ikon,2017 - 2018,377,46,24,59,104,42
california,Palisades Tahoe,Ikon,2018 - 2019,650,70,53,136,217,35
california,Palisades Tahoe,Ikon,2019 - 2020,148,28,20,42,75,25
california,Palisades Tahoe,Ikon,2020 - 2021,275,42,37,14,84,28
california,Palisades Tahoe,Ikon,2021 - To Date,245,30,40,1,88,30
british-columbia,Revelstoke,Ikon,2012 - 2013,191,62,27,55,107,11
british-columbia,Revelstoke,Ikon,2013 - 2014,221,72,52,54,113,14
british-columbia,Revelstoke,Ikon,2014 - 2015,216,76,40,48,93,13
british-columbia,Revelstoke,Ikon,2015 - 2016,285,99,21,59,65,15
british-columbia,Revelstoke,Ikon,2016 - 2017,251,87,24,56,75,16
british-columbia,Revelstoke,Ikon,2017 - 2018,242,96,55,51,124,11
british-columbia,Revelstoke,Ikon,2018 - 2019,185,88,18,49,78,11
british-columbia,Revelstoke,Ikon,2019 - 2020,209,74,30,42,97,13
british-columbia,Revelstoke,Ikon,2020 - 2021,217,79,42,48,103,12
british-columbia,Revelstoke,Ikon,2021 - To Date,287,96,71,78,112,15
california,Snow Summit,Ikon,2012 - 2013,83,13,14,22,36,18
california,Snow Summit,Ikon,2013 - 2014,26,5,7,12,12,10
california,Snow Summit,Ikon,2014 - 2015,59,11,7,14,18,11
california,Snow Summit,Ikon,2015 - 2016,91,17,17,24,40,18
california,Snow Summit,Ikon,2016 - 2017,180,18,18,25,46,30
california,Snow Summit,Ikon,2017 - 2018,36,10,14,22,36,8
california,Snow Summit,Ikon,2018 - 2019,143,21,21,31,44,18
california,Snow Summit,Ikon,2019 - 2020,110,14,20,23,40,30
california,Snow Summit,Ikon,2020 - 2021,121,16,25,29,60,28
california,Snow Summit,Ikon,2021 - To Date,58,15,34,38,65,11
utah,Snowbasin,Ikon,2012 - 2013,197,40,36,36,78,20
utah,Snowbasin,Ikon,2013 - 2014,227,46,46,46,109,18
utah,Snowbasin,Ikon,2014 - 2015,117,33,25,31,68,10
utah,Snowbasin,Ikon,2015 - 2016,253,55,35,46,80,22
utah,Snowbasin,Ikon,2016 - 2017,421,62,71,67,157,25
utah,Snowbasin,Ikon,2017 - 2018,205,51,28,28,70,12
utah,Snowbasin,Ikon,2018 - 2019,432,78,62,60,237,21
utah,Snowbasin,Ikon,2019 - 2020,220,53,42,38,90,14
utah,Snowbasin,Ikon,2020 - 2021,295,47,42,39,100,21
utah,Snowbasin,Ikon,2021 - To Date,198,35,37,38,69,23
utah,Snowbird,Ikon,2012 - 2013,393,76,58,61,109,18
utah,Snowbird,Ikon,2013 - 2014,387,70,67,63,130,16
utah,Snowbird,Ikon,2014 - 2015,327,59,54,77,91,25
utah,Snowbird,Ikon,2015 - 2016,454,78,63,63,116,19
utah,Snowbird,Ikon,2016 - 2017,589,79,83,84,148,23
utah,Snowbird,Ikon,2017 - 2018,390,63,55,54,115,20
utah,Snowbird,Ikon,2018 - 2019,690,97,101,101,180,30
utah,Snowbird,Ikon,2019 - 2020,351,53,49,48,132,23
utah,Snowbird,Ikon,2020 - 2021,350,66,55,53,106,27
utah,Snowbird,Ikon,2021 - To Date,220,38,60,64,98,19
utah,Solitude,Ikon,2012 - 2013,249,48,37,40,88,15
utah,Solitude,Ikon,2013 - 2014,500,76,51,49,122,28
utah,Solitude,Ikon,2014 - 2015,202,44,37,37,76,20
utah,Solitude,Ikon,2015 - 2016,310,56,42,33,100,24
utah,Solitude,Ikon,2016 - 2017,438,63,32,61,142,28
utah,Solitude,Ikon,2017 - 2018,260,56,35,34,85,15
utah,Solitude,Ikon,2018 - 2019,437,67,62,61,135,26
utah,Solitude,Ikon,2019 - 2020,313,50,36,34,91,21
utah,Solitude,Ikon,2020 - 2021,278,48,34,33,85,18
utah,Solitude,Ikon,2021 - To Date,263,47,56,53,89,23
colorado,Steamboat,Ikon,2012 - 2013,380,77,31,66,67,28
colorado,Steamboat,Ikon,2013 - 2014,263,67,42,53,82,14
colorado,Steamboat,Ikon,2014 - 2015,174,50,31,37,68,13
colorado,Steamboat,Ikon,2015 - 2016,331,73,39,46,84,12
colorado,Steamboat,Ikon,2016 - 2017,291,70,35,42,70,20
colorado,Steamboat,Ikon,2017 - 2018,238,59,27,35,67,11
colorado,Steamboat,Ikon,2018 - 2019,320,79,40,53,86,14
colorado,Steamboat,Ikon,2019 - 2020,268,64,29,36,79,15
colorado,Steamboat,Ikon,2020 - 2021,219,64,23,34,56,12
colorado,Steamboat,Ikon,2021 - To Date,211,54,36,53,58,18
vermont,Stratton,Ikon,2012 - 2013,144,45,17,26,35,20
vermont,Stratton,Ikon,2013 - 2014,192,51,17,23,30,19
vermont,Stratton,Ikon,2014 - 2015,159,45,18,28,45,14
vermont,Stratton,Ikon,2015 - 2016,80,24,10,12,18,6
vermont,Stratton,Ikon,2016 - 2017,138,31,14,19,28,15
vermont,Stratton,Ikon,2017 - 2018,164,29,17,21,40,30
vermont,Stratton,Ikon,2018 - 2019,111,32,14,18,30,19
vermont,Stratton,Ikon,2019 - 2020,88,28,12,12,24,11
vermont,Stratton,Ikon,2020 - 2021,113,28,12,12,24,24
vermont,Stratton,Ikon,2021 - To Date,21,6,14,14,20,6
vermont,Sugarbush,Ikon,2012 - 2013,326,70,11,30,20,26
vermont,Sugarbush,Ikon,2013 - 2014,240,63,12,29,18,19
vermont,Sugarbush,Ikon,2014 - 2015,257,74,10,38,18,13
vermont,Sugarbush,Ikon,2015 - 2016,154,45,11,25,18,9
vermont,Sugarbush,Ikon,2016 - 2017,412,85,12,36,26,27
vermont,Sugarbush,Ikon,2017 - 2018,186,54,12,34,20,23
vermont,Sugarbush,Ikon,2018 - 2019,173,52,14,30,36,17
vermont,Sugarbush,Ikon,2019 - 2020,102,37,20,28,36,10
vermont,Sugarbush,Ikon,2020 - 2021,133,53,19,33,48,10
vermont,Sugarbush,Ikon,2021 - To Date,168,43,15,27,21,12
maine,Sugarloaf,Ikon,2012 - 2013,135,34,17,27,32,18
maine,Sugarloaf,Ikon,2013 - 2014,131,41,19,25,36,15
maine,Sugarloaf,Ikon,2014 - 2015,149,39,14,24,24,16
maine,Sugarloaf,Ikon,2015 - 2016,86,22,7,13,17,10
maine,Sugarloaf,Ikon,2016 - 2017,220,42,17,28,53,30
maine,Sugarloaf,Ikon,2017 - 2018,165,41,13,20,36,26
maine,Sugarloaf,Ikon,2018 - 2019,215,48,26,32,46,18
maine,Sugarloaf,Ikon,2019 - 2020,99,22,13,17,46,14
maine,Sugarloaf,Ikon,2020 - 2021,108,31,9,14,24,17
maine,Sugarloaf,Ikon,2021 - To Date,112,28,13,17,22,18
idaho,Sun Valley,Ikon,2012 - 2013,165,46,15,35,24,20
idaho,Sun Valley,Ikon,2013 - 2014,161,45,19,26,43,17
idaho,Sun Valley,Ikon,2014 - 2015,143,36,20,37,48,16
idaho,Sun Valley,Ikon,2015 - 2016,243,65,31,53,72,15
